MJD,Temperature [mdC]
57933.89337,44199
57933.89338,44203
57933.89339,44203
57933.89341,44199
57933.89342,44203
57933.89343,44203
57933.89344,44203
57933.89345,44199
57933.89346,44203
57933.89347,44199
57933.89349,44203
57933.8935,44199
57933.89351,44199
57933.89352,44199
57933.89353,44199
57933.89354,44199
57933.89356,44199
57933.89357,44199
57933.89358,44199
57933.89359,44199
57933.8936,44199
57933.89361,44199
57933.89362,44199
57933.89364,44199
57933.89365,44199
57933.89366,44199
57933.89367,44199
57933.89368,44199
57933.89369,44199
57933.89371,44195
57933.89372,44199
57933.89373,44195
57933.89374,44195
57933.89375,44195
57933.89376,44195
57933.89378,44199
57933.89379,44195
57933.8938,44199
57933.89381,44199
57933.89382,44199
57933.89383,44199
57933.89384,44199
57933.89386,44199
57933.89387,44199
57933.89388,44199
57933.89389,44199
57933.8939,44199
57933.89391,44199
57933.89393,44195
57933.89394,44195
57933.89395,44195
57933.89396,44195
57933.89397,44195
57933.89398,44195
57933.894,44195
57933.89401,44195
57933.89402,44191
57933.89403,44191
57933.89404,44191
57933.89405,44187
57933.89406,44191
57933.89408,44187
57933.89409,44191
57933.8941,44187
57933.89411,44191
57933.89412,44191
57933.89413,44191
57933.89415,44191
57933.89416,44191
57933.89417,44191
57933.89418,44191
57933.89419,44191
57933.8942,44187
57933.89422,44187
57933.89423,44187
57933.89424,44191
57933.89425,44191
57933.89426,44191
57933.89427,44191
57933.89428,44187
57933.8943,44187
57933.89431,44191
57933.89432,44191
57933.89433,44187
57933.89434,44187
57933.89435,44191
57933.89437,44187
57933.89438,44187
57933.89439,44187
57933.8944,44187
57933.89441,44187
57933.89442,44187
57933.89444,44187
57933.89445,44187
57933.89446,44187
57933.89447,44187
57933.89448,44187
57933.89449,44187
57933.8945,44187
57933.89452,44187
57933.89453,44187
57933.89454,44187
57933.89455,44187
57933.89456,44187
57933.89457,44187
57933.89459,44191
57933.8946,44187
57933.89461,44187
57933.89462,44187
57933.89463,44187
57933.89464,44191
57933.89466,44187
57933.89467,44187
57933.89468,44187
57933.89469,44187
57933.8947,44187
57933.89471,44187
57933.89472,44187
57933.89474,44187
57933.89475,44191
57933.89476,44187
57933.89477,44187
57933.89478,44187
57933.89479,44191
57933.89481,44187
57933.89482,44191
57933.89483,44187
57933.89484,44191
57933.89485,44187
57933.89486,44191
57933.89487,44191
57933.89489,44191
57933.8949,44191
57933.89491,44191
57933.89492,44191
57933.89493,44191
57933.89494,44191
57933.89496,44191
57933.89497,44191
57933.89498,44195
57933.89499,44195
57933.895,44191
57933.89501,44195
57933.89503,44195
57933.89504,44195
57933.89505,44195
57933.89506,44195
57933.89507,44195
57933.89508,44195
57933.89509,44195
57933.89511,44195
57933.89512,44195
57933.89513,44195
57933.89514,44195
57933.89515,44195
57933.89516,44195
57933.89518,44195
57933.89519,44195
57933.8952,44195
57933.89521,44199
57933.89522,44199
57933.89523,44199
57933.89525,44199
57933.89526,44199
57933.89527,44199
57933.89528,44199
57933.89529,44199
