Time(s),S21(MAG),S21(DEG)
1892.16,1.0015043,-0.82865876
1900.8,1.0060871,-0.81426615
1909.44,1.0054842,-0.94199854
1918.08,1.0038179,-0.83456361
1926.72,1.0050973,-0.78060299
1935.36,1.0040271,-0.78592134
1944,1.0057007,-0.87117189
1952.64,1.0032547,-0.88077968
1961.28,1.0038213,-0.95750523
1969.92,1.0043941,-0.93256766
1978.56,1.0031669,-0.96107382
1987.2,1.0028404,-1.0679864
1995.84,1.0039735,-0.99422103
2004.48,1.0029284,-1.080255
2013.12,1.0031648,-1.0024501
2021.76,1.0030301,-1.1426433
2030.4,1.0030587,-1.1167483
2039.04,1.0037893,-1.083661
2047.68,1.0013766,-1.0404955
2056.32,1.0036355,-1.0853394
2064.96,1.0032175,-1.076113
2073.6,1.0033394,-0.92069161
2082.24,1.006749,-0.90159416
2090.88,1.0059205,-0.937163
2099.52,1.0048778,-0.85539669
2108.16,1.0081708,-0.96280479
2116.8,1.0063589,-0.93435055
2125.44,1.0052862,-0.88274693
2134.08,1.0021188,-1.1738758
2142.72,1.0022153,-1.1213022
2151.36,0.99948692,-1.0874597
2160,1.00332,-1.16502
2168.64,1.0040576,-1.17801
2177.28,1.0037589,-1.182295
2185.92,1.0024139,-1.2419773
2194.56,1.0049713,-0.97303462
2203.2,1.0039551,-1.0629139
2211.84,1.0050354,-1.0360777
2220.48,1.0056231,-1.1087868
2229.12,1.0061191,-1.069077
2237.76,1.0051727,-1.0293317
2246.4,1.0060705,-1.0635842
2255.04,1.0057766,-1.027862
2263.68,1.0056643,-1.1127843
2272.32,1.0022395,-1.0465846
2280.96,1.0015767,-1.1492915
2289.6,1.00158,-1.1601034
2298.24,1.0030719,-1.136229
2306.88,1.0019758,-1.1228545
2315.52,1.0027018,-1.2687873
2324.16,1.0034178,-1.1036661
2332.8,1.0046706,-1.1053067
2341.44,1.0042706,-1.0937319
2350.08,1.0032285,-1.078916
2358.72,1.0035373,-1.1410494
2367.36,1.0011848,-1.0116274
2376,1.0035024,-0.92486185
2384.64,1.0047352,-0.96332538
2393.28,1.0071695,-0.92705786
2401.92,1.0052083,-1.0212628
2410.56,1.0063872,-0.82266521
2419.2,1.0058253,-0.87521279
2427.84,1.0040109,-1.0370468
2436.48,1.0021224,-1.1120915
2445.12,1.005082,-1.0457265
2453.76,1.0034705,-1.0487071
2462.4,1.0022444,-1.0436569
2471.04,1.0013504,-0.94059163
2479.68,1.004956,-0.8845461
2488.32,1.0056449,-0.83740604
2496.96,1.0043766,-0.85367757
2505.6,1.0053182,-0.77582282
2514.24,1.005291,-0.71999466
2522.88,1.0063269,-0.72826403
2531.52,1.0061617,-0.81047761
2540.16,1.0059501,-0.84051025
2548.8,1.0029759,-0.80875731
2557.44,1.0034299,-0.83834511
2566.08,1.001356,-0.90726918
2574.72,1.0043207,-0.79654354
2583.36,1.0030303,-0.84789705
2592,1.0013583,-0.98262328
2600.64,1.0025566,-0.90619534
2609.28,1.0053204,-0.90566421
2617.92,1.0033504,-0.88668871
2626.56,1.0025851,-0.83178604
2635.2,1.0036184,-0.87571716
2643.84,1.001798,-0.82108366
2652.48,1.0014352,-0.69916111
2661.12,1.0040808,-0.60818833
2669.76,1.0048715,-0.63069725
2678.4,1.0066776,-0.72314364
2687.04,1.0064416,-0.66982841
2695.68,1.0082524,-0.78282732
2704.32,1.0086368,-0.57058913
2712.96,1.003915,-0.50498027
2721.6,1.0044633,-0.72383189
2730.24,1.0030175,-0.72795033
2738.88,1.0021485,-0.58653855
2747.52,1.0033029,-0.7261762
2756.16,1.0011268,-0.71857244
2764.8,1.0038697,-0.6341843
2773.44,1.0055795,-0.51285654
2782.08,1.0052692,-0.48070642
2790.72,1.0038726,-0.3949407
2799.36,1.0057145,-0.28265816
2808,1.0053996,-0.4189699
2816.64,1.0037431,-0.5261271
2825.28,1.0025327,-0.45288232
2833.92,1.0023098,-0.6044293
2842.56,1.0040699,-0.66035545
2851.2,1.001826,-0.49414369
2859.84,1.002452,-0.59870929
2868.48,1.0001526,-0.47757351
2877.12,1.0016468,-0.4841873
2885.76,1.0025567,-0.50201929
2894.4,1.0022082,-0.44425371
2903.04,1.0012163,-0.50033873
2911.68,0.99961686,-0.47262326
2920.32,1.0014251,-0.42719126
2928.96,1.0023347,-0.49420214
2937.6,1.0036979,-0.4981747
2946.24,1.0040566,-0.45437354
2954.88,1.0054107,-0.27203095
2963.52,1.0044972,-0.24689239
2972.16,1.0095762,-0.4446483
2980.8,1.0078865,-0.31739536
2989.44,1.0084133,-0.39043748
2998.08,1.007327,-0.3229942
3006.72,1.0034677,-0.46980572
3015.36,1.0040246,-0.62973243
3024,1.0034461,-0.49925253
3032.64,1.0041647,-0.52921122
3041.28,1.0051115,-0.55082196
3049.92,1.0010216,-0.47775552
3058.56,1.0042281,-0.48466048
3067.2,1.0045055,-0.32360479
3075.84,1.0059031,-0.34118271
3084.48,1.0037315,-0.34446537
3093.12,1.0052375,-0.41776025
3101.76,1.0056711,-0.32439643
3110.4,1.0062623,-0.34280652
3119.04,1.0039407,-0.4682399
3127.68,1.0040618,-0.44196364
3136.32,1.0037544,-0.41796833
3144.96,1.0027193,-0.57799101
3153.6,1.0039531,-0.47084299
3162.24,1.0041903,-0.69052571
3170.88,1.001435,-0.63304293
3179.52,1.0038501,-0.60981345
3188.16,1.0030482,-0.65924656
3196.8,1.0037265,-0.7932108
3205.44,1.0025316,-0.64692193
3214.08,1.0021563,-0.66600406
3222.72,1.0033038,-0.79640043
3231.36,1.0016705,-0.77448291
3240,1.0019125,-0.76133376
3248.64,1.0054628,-0.66103166
3257.28,1.0059716,-0.77462506
3265.92,1.0077978,-0.77403963
3274.56,1.0063447,-0.67436969
3283.2,1.0064976,-0.70066732
3291.84,1.0045232,-0.68239892
3300.48,1.0029092,-0.83518153
3309.12,1.0028148,-0.78357756
3317.76,1.0025537,-0.85645604
3326.4,1.0038766,-0.96482861
3335.04,1.0030926,-0.82970554
3343.68,1.004032,-0.90379947
